model,model_image_url
Glowstone 2.3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Glowstone_2.tgs
Ocean Jasper 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Ocean_Jasper_2.tgs
Tanzanite 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Tanzanite_2.tgs
Uranium 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Uranium_2.tgs
Premium 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Premium_2.tgs
Emerald 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Emerald_2.tgs
RGB-ite 2.3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/RGB-ite_2.tgs
Ethereal 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Ethereal_2.tgs
Galactite 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Galactite_2.tgs
Bouquet 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Bouquet_2.tgs
True Opal 2.3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/True_Opal_2.tgs
Citrine 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Citrine_2.tgs
Gold 999 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Gold_999_2.tgs
Nectarite 1.3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Nectarite_1.tgs
Amethyst 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Amethyst_2.tgs
Aquarium 1.3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Aquarium_1.tgs
Tourmaline 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Tourmaline_2.tgs
Black Diamond 2.3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Black_Diamond_2.tgs
Garnet 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Garnet_2.tgs
White Opal 2.3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/White_Opal_2.tgs
Silver Art 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Silver_Art_2.tgs
Warholite 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Warholite_2.tgs
Barbed 1.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Barbed_1.tgs
Moonlit 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Moonlit_2.tgs
Spinel 2.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Spinel_2.tgs
Lovestone 1.3%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Lovestone_1.tgs
Dark Soul 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Dark_Soul_0.tgs
Wait a Minute 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Wait_a_Minute_0.tgs
Golden Age 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Golden_Age_1.tgs
Forecast 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Forecast_0.tgs
Midnight 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Midnight_1.tgs
Backyard 0.6%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Backyard_0.tgs
Bright Side 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Bright_Side_1.tgs
Steel Strong 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Steel_Strong_1.tgs
Summer Walk 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Summer_Walk_1.tgs
Be Awesome! 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Be_Awesome_1.tgs
Crunchy 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Crunchy_0.tgs
Moon Wish 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Moon_Wish_1.tgs
Twilight Beam 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Twilight_Beam_1.tgs
Tropic Dream 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Tropic_Dream_1.tgs
Wee Hours 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Wee_Hours_1.tgs
Golden Hour 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Golden_Hour_1.tgs
Happy Flame 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Happy_Flame_1.tgs
Sparkler 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Sparkler_0.tgs
Rainbow 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Rainbow_1.tgs
Wax Glow 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Wax_Glow_1.tgs
Crazy Frog 0.6%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Crazy_Frog_0.tgs
Neon Lights 0.6%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Neon_Lights_0.tgs
Pastel Spark 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Pastel_Spark_1.tgs
Lolipop 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Lolipop_1.tgs
