name,image_url
Book 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Book_0_5.png
Breeze 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Breeze_0_4.png
Turkey 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Turkey_0_4.png
Hersir 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Hersir_0_4.png
Elephant 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Elephant_0_7.png
Lily 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Lily_0_7.png
Smartphone 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Smartphone_0_7.png
Bone 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Bone_0_5.png
Lemon 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Lemon_0_7.png
Rook 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Rook_0_5.png
Moto Helmet 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Moto_Helmet_0_7.png
Dolphin 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Dolphin_0_7.png
Steampunk Hat 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Steampunk_Hat_0_4.png
Cocktail 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Cocktail_0_7.png
Twin Koi 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Twin_Koi_0_2.png
Mayan Moth 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Mayan_Moth_0_4.png
Horn 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Horn_0_7.png
Monarch 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Monarch_0_7.png
Carrot 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Carrot_0_4.png
Trophy 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Trophy_0_7.png
